Designator,Mid X,Mid Y,Layer,Rotation
D1,12.18,171.46,Top,0.0
D2,53.22,171.46,Top,0.0
D3,101.1,171.46,Top,0.0
D4,135.3,171.46,Top,0.0
D5,14.46,157.78,Top,0.0
D6,12.18,144.1,Top,0.0
D8,29.28,130.42,Top,0.0
D9,94.26,130.42,Top,0.0
D10,114.78,157.78,Top,0.0
D11,125.04,116.74,Top,0.0
D12,148.98,130.42,Top,0.0
D13,19.02,116.74,Top,0.0
D14,56.64,116.74,Top,0.0
D15,19.02,103.06,Top,0.0
D16,94.26,103.06,Top,0.0
D17,155.82,103.06,Top,0.0
D18,19.02,89.38,Top,0.0
D19,56.64,89.38,Top,0.0
D20,125.04,89.38,Top,0.0
D21,12.18,75.7,Top,0.0
D22,73.74,75.7,Top,0.0
D23,114.78,75.7,Top,0.0
D24,19.02,62.02,Top,0.0
D25,121.62,62.02,Top,0.0
D26,19.02,48.34,Top,0.0
D27,60.06,48.34,Top,0.0
D28,135.3,48.34,Top,0.0
D29,25.86,34.66,Top,0.0
D30,60.06,34.66,Top,0.0
D31,19.02,20.98,Top,0.0
D32,60.06,20.98,Top,0.0
D33,125.04,7.3,Top,0.0
D34,96.54,34.66,Top,0.0
D35,148.98,20.98,Top,0.0
D36,162.66,171.46,Top,0.0
D37,46.38,157.78,Top,0.0
D38,78.3,157.78,Top,0.0
D39,155.82,157.78,Top,0.0
D40,39.54,144.1,Top,0.0
D41,114.78,144.1,Top,0.0
D42,146.7,144.1,Top,0.0
D43,63.48,130.42,Top,0.0
D44,121.62,130.42,Top,0.0
D45,90.84,116.74,Top,0.0
D46,159.24,116.74,Top,0.0
D47,60.06,103.06,Top,0.0
D48,121.62,103.06,Top,0.0
D49,90.84,89.38,Top,0.0
D50,159.24,89.38,Top,0.0
D51,39.54,75.7,Top,0.0
D52,155.82,75.7,Top,0.0
D53,46.38,62.02,Top,0.0
D54,148.98,62.02,Top,0.0
D55,101.1,48.34,Top,0.0
D56,162.66,48.34,Top,0.0
D57,128.46,34.66,Top,0.0
D58,160.38,34.66,Top,0.0
D59,101.1,20.98,Top,0.0
D60,82.86,144.1,Top,0.0
D61,46.38,7.3,Top,0.0
D62,78.3,7.3,Top,0.0
D63,159.24,7.3,Top,0.0
D64,14.46,7.3,Top,0.0
